"Rugăciunea pentru copiii ce nu pot învăța","Doamne, Iisuse Hristoase, Dumnezeul nostru, Cel ce Te-ai sălășluit în inimile cele curate ale celor doisprezece Apostoli, prin harul Preasfântului Duh, Care S-a pogorât în chipul limbilor de foc și a deschis gurile lor de au început a grăi în alte limbi, însuți, Doamne, Iisuse Hristoase, Dumnezeul nostru, trimite același Duh Sfânt al Tău peste acest copil (Numele), și sădește în urechile inimii lui Sfânta Scriptură, cea însuflată de Tine prin puterea Sfântului Duh. Doamne, Iisuse Hristoase, Dumnezeul nostru, Cel ce Te-ai sălăsluit și ai luminat inimile celor două­zeci și patru de bătrâni, ale sfinților Tăi ucenici și apostoli, ale sfinților apostoli și evangheliști: Ma­tei, Marcu, Luca și Ioan; Cel ce ai învățat și ai lumi­nat pe Sfântul Ștefan, întâiul mucenic, însuți și acum, Doamne, luminează inima robului Tău și a copilului meu (Numele). Pentru rugăciunile preabinecuvântatei stăpânei noastre, de Dumnezeu Născătoarei și pururea Fecioa­rei Maria; cu puterea cinstitei și de viață făcătoarei Cruci; ale cinstitului și măritului prooroc, înainte-mergătorului și Botezatorului Ioan; ale sfinților, mă­riților și întru tot lăudaților Apostoli; ale Sfântului Apostol Matia; ale sfinților mucenici: Agapie, Procopie și Filip și ale tuturor sfinților. Că Tu ești lumi­narea sufletelor și a trupurilor noastre și Ție slavă înălțăm, împreună și Celui fără de început al Tău Părinte și Preasfântului și Bunului și de viață făcă­torului Tău Duh, acum și pururea și în vecii vecilor. Amin!"
"Rugăciune către Sfântul Prooroc Ilie Tesviteanul la vreme de secetă","Te cinstim pe tine proorocule al lui Dumnezeu, Ilie, căci pentru râvna ta întru mărirea Domnului Atotțiitorului, neputând răbda să vezi închinarea la idoli și nelegiuirea fiilor lui Israel, l-ai înfruntat pe regele Ahab, călcătorul de lege și pentru pedepsirea acestora prin rugăciune ai cerut de la Dumnezeu foamete de trei ani pe pământul lui Israel, spre a-l îndepărta de idolii netrebnici, pentru ca să se lase de fărădelegi și de nedreptăți, să se întoarcă spre unul adevăratul Dumnezeu și spre împlinirea sfintelor Sale porunci. În timp de foamete, preaminunate, ai hrănit pe văduva din Sarepta, iar pe fiul ei cel mort, prin rugăciune l-ai inviat. După trecerea timpului de foamete proorocit, ai adunat pe Muntele Carmelului poporul israelit învechit în păcătoșenie și lepădare de Dumnezeu și prin rugăciune foc din cer ai dobândit peste jertfa ta, cu aceasta minune întorcând pe Israel către Domnul. Pe proorocii cei mincinoși ai lui Baal i-ai rușinat, iar după aceea, prin rugăciune, cerul iarăși l-ai deschis și ploaie multă pe pământ ai dobândit, iar pe credincioșii din Israel i-ai umplut de bucurie.

Către tine, preafericitul Domnului, Ilie, cu umilință alergăm, noi păcătoșii și smeriții, chinuiți de arșiță și secetă: Mărturisim că nu suntem vrednici de mila și de harul lui Dumnezeu; mai curând suntem vrednici pe dreptate de amenințarea aspră a mâniei Lui cu tot felul de rele boli, necazuri și jale. Căci n-am umblat în frică de Dumnezeu, pe calea poruncilor Lui, ci în poftele desfrânării inimilor noastre, și tot felul de greșeli fără de număr am săvârșit. Fărădelegile noastre ne-au întunecat mintea și nu suntem vrednici a ne arăta în fața Domnului și a privi la cer. Mărturisim că și noi ca și vechiul Israel, ne-am îndepărtat de Domnul Dumnezeul nostru prin fărădelegile noastre, și de nu ne închinaăm lui Baal și altor idoli netrebnici atunci prin robia patimilor și prin poftele noastre slujim idolului; prin patima îmbuibării și a poftelor slujim idolului lăcomiei și al trufiei, idolului mândriei și al îngâmfării și mergem pe urmele împotrivirii față de Dumnezeu prin năravuri rele și slujim duhului pierzător al veacului. Mărturisim, că pentru aceea s-a închis cerul și s-a făcut ca arama, fiindcă s-au închis inimile noastre în fața milei și iubirii adevărate față de aproapele nostru. Pentru aceea pământul s-a uscat și s-a facut neroditor, fiindcă nu aducem Domnului nostru roadele faptelor bune. De aceea, nu ne dă ploaie și rouă, fiindcă nu avem lacrimi de umilință și rouă dătătoare de viață a cugetului către Dumnezeu. De aceea s-au vestejit toate bucatele și toată iarba câmpului fiindcă s-a uscat în noi tot gândul cel bun. De aceea s-a întunecat văzduhul pentru că mintea noastră s-a întunecat de gânduri rele, iar inima noastră s-a întinat de poftele fărădelegii.

Mărturisim că și ție, proorocul Domnului suntem nevrednici a ne ruga. Căci tu, om fiind, asemănându-te nouă prin patimi, cu viața ta asemenea îngerilor te-ai făcut și ca unul fără trup ai fost înălțat la cer; iar noi prin faptele și gândurile noastre rușinoase, sufletul nostru deopotrivă trupului l-am făcut. Tu prin post și priveghere i-ai minunat pe ingeri și pe oameni, iar noi ne-am făcut robi necumpătării și poftelor. Tu râvneai la slava lui Dumnezeu, noi însă, ne depărtăm de slăvirea Domnului și Creatorului nostru și ne rușinăm a mărturisi preamărit numele Lui. Tu ai stârpit necinstea și deprinderile rele, iar noi ne robim năravurilor lumii potrivnice Domnului mai vârtos decât poruncilor Lui și a rânduielilor Bisericii. Și câte păcate și nedreptăți n-am săvârșit noi păcătoșii ! Prin păcatele noastre am istovit îndelunga răbdare a Domnului. Pentru toate acestea dreptul Judecător s-a mâniat pe noi și în mânia Lui ne-a pedepsit. Deci, cu îndrăzneala mare față de Dumnezeu și nădăjduind în iubirea ta față de neamul omenesc, cutezăm a te ruga, mărite proorocule. Milostiv fii față de noi nemernicii și nevrednicii, roagă pe Atotbunul Dumnezeu să nu se mânie pe noi până în sfârșit, ca să ne piardă pentru fărădelegile noastre, ci să ne trimită pământului însetat ploaie îmbelșugată și curată și să ne dăruiască roadă bogată și bunaintocmire a văzduhului; mijlocește mila Împăratului ceresc, dar nu pentru noi păcătoșii și nevrednicii, ci pentru aleșii robii Lui care nu și-au plecat genunchii în fața lui Baal al lumii acesteia, pentru blândetea și curăția copiilor, pentru dobitoacele cele necuvântătoare și pentru păsările cerului, care îndură din pricina fărădelegilor noastre și pier de foame, de arșiță și de sete.

Dobândește pentru noi prin rugăciunile tale bine-plăcute lui Dumnezeu: duhul pocăinței și al smereniei, duhul blândeții și al înfrânării, al iubirii, al răbdării, al temerii de Dumnezeu și al bunei cinstiri, ca astfel, întorcându-ne de la căile necinstei la calea cea dreaptă a faptelor bune, să umblăm în lumina poruncilor Domnului și să ajungem la bunurile făgăduite nouă, binecuvântând pe Cel fără de început Dumnezeu-Tatăl, pe iubitorul de oameni Unul-Născut Fiul Său și pe sfințitorul Duh Preasfânt, acum și pururea și în vecii vecilor. Amin."
"Rugăciunea soţilor care nu au copii","Binecuvântat ești Tu, Dumnezeul părinților noștri, și binecuvântat este numele Tău cel sfânt și slăvit întru toți vecii! Să Te binecuvânteze pe Tine cerurile și toate făpturile Tale! Tu ai făcut pe Adam și Tu ai făcut pe Eva, femeia lui, pentru a-i fi ajutor și sprijin, și din ei s-a născut neamul omenesc. Tu ai zis: "Nu este bine să fie omul singur; să-i facem un ajutor asemenea lui". „Doamne, nu plăcerea mea o caut, luând pe femeia mea, ci o fac cu inimă curată. Binevoieşte de a avea milă de ea şi de mine şi a ne duce împreună până la bătrâneţe", s-a rugat Ţie Tobie, iar Tu i-ai umplut casa de binecuvântare şi i-ai dăruit copii ca răspuns la cererile sale. Doamne, pustii sunt casele fără copii, şi triste inimile soţilor care nu au urmaşi. Chiar dacă nu avem credinţa drepţilor care pentru rugăciunile lor s-au învrednicit să aibă copii, pentru mila Ta cea nemăsurată nu ne lăsa, Atotputernice Doamne, ci vezi suspinul inimilor noastre.

Umple-ne casa de bucuria pe care o aduc copiii, iar pe noi întăreşte-ne ca să îi creştem pe ei cu dragoste şi înţelepciune în dreapta credinţă, spre slava Numelui Tău şi a Sfintei Tale Biserici. Amin."
"Rugăciune puternică, la vreme de ispită","Doamne, Doamne, Cel ce ai îngă­duit diavolului să ispitească în Rai pe strămoșii noștri Adam și Eva, spre a le încerca ascultarea și supunerea; Cel ce, de asemenea, ai îngăduit dia­volului să ispitească cu îngrozire și cu grele su­ferințe pe dreptul Iov, robul Tău, pen­tru ca și mai lămurit să se vădească virtuțile și credința lui întru Tine; Cel ce ai dat îngă­duință satanei să se apro­pie cu ispitire de Însuși Fiul Tău, spre a-L îmbia și a-L momi cu poftele și deșertă­ciu­nile acestei lumi, pentru ca, înfrânt și rușinat, acest duh blestemat să audă din gura Mântuitorului lumii cuvintele: „Înapoia Mea, satano, căci scris este: Domnului Dumnezeului tău să te închini și numai Lui unuia să-I slujești!”; Cel ce tuturor drep­ților și sfinților Tăi le-ai dat vremi de ispitire și de grele îndoieli, pentru ca, prin ele lămurindu-se, să iasă și să rămână și mai întăriți în credința, în nădejdea, în dragostea și în supu­nerea cea către Tine; Însuți, Atot­pu­­­­ternice și Preabunu­le Stăpâne, aju­tă-mi și mie în această clipă grea, când duhul satanei îmi tulbură mintea cu îndoieli și cu îmbol­diri, și când vi­clene amăgiri îmi fră­mân­tă inima și sufletul.

Arată-mi, Mi­los­tive, adevă­rul și calea Ta cea dreaptă, pentru ca, biruind uneltirile de acum ale diavolului, să mă pot bucura de cuvintele aposto­lu­lui Tău Iacob, ce zice: „Fericit bărbatul care rabdă ispita, căci lămurit fă­cân­du-se, va lua cununa vieții, pe care a făgă­duit-o Dumnezeu celor ce Îl iu­besc pe El”.

Dăruiește-mi, Stăpâne, inimă cu­rată și credință tare, pentru ca în aceste clipe să pot cânta dimpreună cu proorocul Tău David: „Doamne, cât s-au înmul­țit cei ce mă necăjesc! Mulți zic sufletului meu: Nu este mân­tuire lui întru Dumnezeul lui! Iar Tu, Doamne, sprijinitorul meu ești, slava mea, și Cel ce înalți fruntea mea! Cu glasul meu către Domnul am strigat și m-a auzit din muntele cel sfânt al Lui! A Domnului este mântuirea și peste tot poporul Tău binecuvântarea Ta”."
"Rugăciune pentru ocrotirea de grindină","Doamne Atotputernice, Stăpâni­torul și Dumnezeul nostru, Părinte, Fiule și Duhule Sfinte, știm că am gre­șit la cer și înaintea Ta, și am mâniat bunătatea Ta, și am pornit certarea Ta spre noi, și suntem vred­­nici de cea mai cum­plită certare a Ta. Însă, știind iubirea Ta de oameni – că pre­cum îți este slava, așa și bună­tatea și milostivirea – cădem cu umi­lință la marea Ta milos­tivire și Te rugăm pe Tine, Cel ce nu vrei moartea păcăto­șilor, îmblânzește-Ți și-Ți în­toarce groaznica Ta mânie de la noi, cre­dincioșii robii Tăi, și nu ne pierde cu dreapta Ta mânie, întru fără­dele­gile noastre. Oprește, Doamne, și stinge focul mâniei Tale, pornit asupra noastră; iar norii cei întunecați, cu grin­dină stricătoare, risipește-i de­grabă și-i gonește la munți și-n lo­curi pustii, unde nu este viețuirea robilor Tăi.

Iar nouă, slugilor Tale, ne trimite ploaie lină și curată, numai cât este pentru trebuința și roada pămân­tu­lui nostru și spre folosul poporului Tău. Așa, Stă­pâne, Doamne, cu pu­terea dumne­zeirii Tale, poruncește degrabă văzduhului să stea întru li­niște și să se arate senin, curat, vesel și cu strălucire de soare, ca, bucu­rân­du-ne și mulțumindu-Ți, să Te mărim pe Tine, Preabunule, Dum­nezeul nostru. Că bun și iubitor de oameni ești și Ție slavă înălțăm, Ta­tălui și Fiului și Sfântului Duh, acum și pururea și în vecii vecilor. Amin."
"Rugăciune pentru binefăcătorii noștri","Dumnezeule ale dragostei, Ție sunt dator a-Ți mulțumi pentru dulcele sim­țământ al dragostei și ocrotirii, de care mă bucur. O, Cel ce ești iz­vo­rul tutu­ror bunătăților, revarsă bine­cuvân­ta­rea și binefacerile Tale peste aceia pe care inima mea îi cinstește și îi iu­bește, peste robii Tăi (numele).

Apără-i de toate primejdiile ce bân­tuie viața mu­ritorilor pe pământ. Fă să răsară asupra lor întotdeauna un soare strălucitor, ca să risipească norii grijilor și ai su­fe­rințelor din viața lor.

Umple inima lor de bucuria mân­tuirii Tale, povățuiește-le pașii pe căi drepte, în scopul mântuirii și al fericirii. Nu lăsa ca apăsătoarele sufe­rințe să le înnoureze fruntea și să le amărască inima. Nenorocirile să nu facă a li se coborî lacrimi în ochi, inima lor să nu fie jertfă întris­tă­rilor. Fă ca fiecare din zilele lor să fie o frumoasă zi de primăvară, viața lor să se asemene unui râu limpede și lin, ce curge prin grădini înver­zite și pline de flori. Iar dacă vor fi ame­nințați de nenorocire, fii apărătorul și ocrotitorul lor, precum ei sunt apă­rătorii mei.

Ori în ce parte vor merge sau se vor afla, umbrește-i cu bunătatea și apă­­ra­rea Ta. Dă-le, Dumnezeul meu, toate plăcerile și toate bucuriile iertate mu­­­ri­to­rilor care păzesc poruncile Tale și fac bine aproapelui lor. Îngerii Tăi cei buni să-i însoțească și să-i păzească în toate zilele lor și, după o viață lungă, plină de binefaceri și fapte bune, să se învrednicească a dobândi bunătățile Tale cele fără de sfârșit, gătite tuturor celor ce lu­crează virtutea. Amin."
"Rugăciune pentru împăcare","Doamne, miluiește pe cei ce mă urăsc, se sfădesc cu mine și mă ocă­răsc; ase­me­nea și pe cei ce mă gră­iesc de rău, ca nu cumva vreunul din ei să păti­meas­că ceva rău pentru mine, necuratul, nici în veacul de acum, nici în cel ce va să fie. Ci-i sfințește pe dânșii cu mila Ta, și-i acoperă de bunătatea Ta, Prea­bu­nule Stăpâne. Amin."
"Rugăciune pentru frați și surori","Doamne, Ție mă rog, ține pe frații mei (fratele meu) și surorile mele (sora mea), dându-le lor sănătate, viață lungă și darul Tău cel sfânt, ca să umble în căile Tale și să facă cele ce sunt după voia Ta cea sfântă. Dă-ne, Doam­ne, de acum până la capătul vieții, să ne iubim și să ne cinstim unii pe alții; căci ce este mai bun și mai frumos decât a viețui frații împreună! Așa, Doamne, ascultă rugăciunea noastră și milostiv fii nouă, că bun și iubitor de oameni ești și Ție mărire înălțăm: Tatălui și Fiului și Sfântului Duh, acum și pu­rurea și în vecii vecilor. Amin."
"Rugăciune de pocăinţă către Maica Domnului","Stăpână prea milostivă şi bună, primeşte rugăciunea mea cea ticăloasă ce se aduce ţie din gură netrebnică, deşi toate le ştii, şi mai ales neputinţa mea. Că eu prin tine scap la bunătatea Fiului tău şi prin tine, Doamna mea, m-am abătut din calea ce ducea spre moarte. Şi ştiind faptele şi toate mişcările mele, cele din zi şi din noapte, cele cu lucrul şi cuvântul, cele întru ştiinţă şi întru neştiinţă, îndreptează-mă, că eu pe tine te am mijlocitoare către Hristos, Dumnezeul nostru.

Miluieşte-mă şi mă ajută, îndemnându-mă la tot lucrul bun, după voia Fiului tău şi Dumnezeului nostru. Tu ştii, Stăpână preabună, că din braţele maicii mele spre tine am alergat, ţie am fost dăruit, deşi rău m-am ocârmuit, dar nu am ştiut altă scăpare, părtinitoare, sprijinire şi mijlocitoare către Dumnezeu fără numai pe tine. Şi acum, Stăpâna mea, mărturisindu-mi toate faptele mele cele necuvioase, te rog să mi le ştergi şi să mă miluieşti. Ştii, Stăpâna mea Născătoare de Dumnezeu, că sunt ca o oaie rătăcită şi ca un străin smerit, care nu are unde să îşi plece capul, fără numai la tine, Maica lui Hristos, Dumnezeul meu. Tu eşti, Stăpână, ajutorarea mea, tu curăţia mea, tu acoperământul meu, tu chezăşuitoarea mea către Dumnezeu, tu tatăl meu, tu maica mea, tu povăţuitoarea mea şi întru tine îmi pun toată nădejdea mea. Tu cunoşti sărăcia mea şi ştii că nu am pe nimeni, fără numai pe tine şi pe Hristos, Cel ce s-a născut din tine. Să nu te îngreţoşezi de mine, nici să mă lepezi de la faţa ta, Preacurată, ca să nu biruiască mulţimea răutăţilor mele bunătatea ta, că al tău este noianul milostivirii, ca ceea ce eşti Maica lui Dumnezeu cel milostiv. Numai de voieşti şi eu m-am mântuit. Nimeni nu se împotriveşte ţie, că eşti Maică a lui Iisus Hristos, Dumnezeul meu, Cel ce a făcut toate.

Ştiu că multe sunt păcatele mele şi nu sunt vrednic a privi la înălţimea cerului din pricina fărădelegilor mele, dar dacă tu vei binevoi cine se va împotrivi? Ajută-mi, Stăpână, Născătoare de Dumnezeu, mie, celui fără de îndrăzneală şi să nu mi se socotească îndrăzneala întru păcat, ci iartă-mă degrabă şi dă-mi umilinţă. Dă-mi izvor de lacrimi, suspinare şi zdrobire de inimă, ca să plâng păcatele mele, că eu sunt cel ce am nelegiuit înaintea Fiului Tău şi Dumnezeu mai mult decât toată firea. Şi ştiu, Stăpâna mea, că sunt fără de răspuns, nevrednic de toată iubirea ta de oameni, ci vrednic de toată osânda. De aceasta, prin tine, scap la mila Fiului tău, a Stăpânului şi Făcătorului meu cel bun. Deci ocârmuieşte-mă şi mă învaţă, Născătoare de Dumnezeu. Şi cerând în dar mila ta cea bogată, miluieşte-mă precum voieşti şi nu mă lepăda de la faţa ta, nici nu mă depărta de acoperământul tău, nu mă înstrăina de milostivirea ta. Miluieşte-mă pe mine, cel ce spre tine am toată nădejdea şi arată-ţi întru mine puterea ta, Născătoare de Dumnezeu. Că de mă vei mântui pe mine, păcătosul, mare va fi mila ta, mare milostivirea ta, mare nepomenirea ta de rău, mare îndelungă răbdarea ta. Iar de vei milui pe cel vrednic, nu va fi lucru minunat.

De aceea ajută-mi, milostiveşte-te spre mine şi-mi întinde mâna ta mie, leneşului, trândavului, nemulţumitorului, împietritului, neumilitului, judecătorului strâmb, gânditorului de rău, desfrânatului, hulitorului, ocărâtorului, clevetitorului, celui plin de toată fapta rea, de cuvinte viclene şi gânduri urâte, celui străin şi gol de toată fapta cea bună şi vrednic de toată osânda şi pedeapsa. Cu adevărat, Stăpâna mea Preasfântă, Născătoare de Dumnezeu, milostiveşte-te spre mine, lipsitul şi ticălosul, şi fă cu mine milele tale bogate. Ca, fiind mântuit, să laud pe Cel ce S-a întrupat din tine, Hristos Dumnezeul nostru, şi pe tine te măresc, mântuirea mea, sprijinirea mea, mângâierea mea şi păzitoarea mea din toate zilele vieţii mele. Ajută-mi mie, Stăpâna mea ce sfântă, ajută-mi şi iarăşi strig, ajută-mi. Şi mă învredniceşte ca să fac voia Fiului tău şi Dumnezeului meu în toate zilele vieţii mele, să mă tem de El şi să-I slujesc cum se cuvine. Şi aşa, săvârşindu-mă, Stăpâna mea Născătoare de Dumnezeu, să fiu povăţuit de sfinţii îngeri la locaşurile cele dumnezeieşti şi luminoase prin mijlocirea ta cea bineprimită, unde să-I slăvesc în veci pe Tatăl, pe Fiul şi pe Sfântul Duh, treimea cea preasfântă. Amin."
"Rugăciune pentru ajutor în naştere şi pentru sănătatea pruncilor ce se nasc, către Preasfânta Născătoare de Dumnezeu","Preamilostivă Doamnă, Împărăteasă de Dumnezeu Născătoare! Primeşte smerita noastră rugăciune şi nu ne lepăda pe noi, ocrotirea şi scăparea noastră, şi nu te îngreţoşa de noi, nevrednicii, ci, ca o milostivă, nu înceta a te ruga Celui născut din tine să ne dăruiască iertarea multelor noastre greşale şi să ne mântuiască cu judecăţile pe care le ştie.

Miluieşte-ne pe noi, Stăpână, miluieşte-ne pe noi, că nu este nouă mântuire din faptele noastre. Pentru aceasta, cu credinţă strigăm ţie: miluieşte-i pe robii tăi şi inima noastră stearpă arată-o roditoare de fapte bune. Caută spre noi, nevrednicii, că tu eşti nădejdea şi acoperământul nostru, viaţa şi lumina inimii noastre; ca ceea ce ai născut din pântecele tău Lumina cea Neînserată, luminează, Curată, sufletul nostru, şi depărtează de la inima noastră tot întunericul. Dăruieşte-ne umilinţă, pocăinţă şi zdrobire de inimă, invredniceşte-ne să facem în toate zilele vieţii noastre voia Fiului tău şi Dumnezeului nostru şi să plăcem în toate înaintea Lui.

O, Maica lui Dumnezeu! Nu înceta a te ruga Celui ce S-a născut din tine pentru toţi cei ce aleargă cu credinţă la sfântă icoana ta, şi dă-le lor grabnică ajutorare şi mângâiere în necazuri şi în nevoi şi în pătimiri, izbăveşte-i pe ei de clevetirea şi răutatea oamenilor, de vrăjmaşii cei văzuţi şi cei nevăzuţi şi de toată nevoia şi întristarea. Mântuieşte patria noastră, oraşul acesta şi toate oraşele şi ţinuturile de toate nevoile şi necazurile, milostiv fă-L către noi pe Dumnezeul nostru, abate toată mânia Lui cea pornită asupra noastră şi ne izbăveşte pe noi de cuvenita şi dreapta Lui ameninţare.

De Dumnezeu iubitoare Stăpână, podoaba îngerilor, slava Mucenicilor şi bucuria tuturor Sfinţilor! Roagă-L dimpreună cu noi pe Domnul ca să ne învrednicească a sfârşi alergarea vieţii noastre în pocăinţă, iar în ceasul morţii, Preasfântă Fecioară, izbăveşte-ne de stăpânirea drăcească, şi de cumplitele întrebări, şi de vămile cele amare, şi de focul cel veşnic, ca să ne învrednicim de slăvită împărăţie dumnezeiască, mărindu-te pe tine şi slăvindu-L pe Cel întrupat din tine, Hristos Dumnezeu, Căruia se cuvine slava dimpreună cu Tatăl şi cu Sfântul Duh, acum şi pururea şi in vecii vecilor. Amin."
"Rugăciune la necazuri şi supărări","Doamne, viforul necazurilor se ri­dică asupra mea și ape intrat-au până la sufletul meu – dar întru Tine este toată nădejdea mea. Tu cunoști pri­cina răului ce mă bântuie. La Tine perii capului meu sunt numărați. La Tine, deci, scap și pe Tine Te rog să depărtezi de la mine orice rău pierzător de suflet și să-mi ajuți a birui toate ispitele ce mă învăluie – că Tu ești întărirea, scăpa­rea și izbă­vitorul meu, Hristoase Dum­nezeule, și Ție slavă înălțăm, Tatălui și Fiului și Sfântului Duh. Amin."
"Rugăciune pentru călătorie binecuvântată","Doamne Iisuse Hristoase, Dumnezeul nostru, Cela ce ești Calea, Adevărul și Viața, și ai călătorit împreună cu sluga Ta, Iosif, precum și cu cei doi ucenici care au mers la Emaus. Însuți Stăpâne, călătorește și cu mine, robul Tău, binecuvântând călătoria mea. Trimite-mi mie înger păzitor, precum lui Tobie, să-mi fie povățuitor și să mă ferească nevătămat de toată întâmplarea cea rea, astfel cu pace, sănătate și cu bună sporire, să mă întorc întru ale mele și toată viața mea să preamăresc prea cinstit și de mare cuviință numele Tău, al Tatălui și al Fiului și al Sfântului Duh. Amin."
